iter	Passed	Remaining
0	18	36975
1	35	35128
2	51	34351
3	67	33921
4	84	33642
5	100	33514
6	117	33441
7	133	33356
8	151	33448
9	168	33538
10	186	33723
11	202	33589
12	219	33529
13	235	33468
14	252	33385
15	268	33279
16	284	33212
17	300	33139
18	317	33103
19	333	33051
20	350	33003
21	366	32945
22	383	32987
23	400	33000
24	417	32950
25	433	32909
26	449	32850
27	465	32802
28	482	32767
29	498	32740
30	514	32705
31	531	32678
32	547	32656
33	564	32628
34	580	32605
35	597	32581
36	614	32621
37	631	32598
38	647	32563
39	660	32349
40	680	32537
41	700	32635
42	720	32782
43	737	32769
44	753	32733
45	769	32699
46	785	32658
47	802	32621
48	818	32609
49	836	32634
50	852	32597
51	869	32567
52	885	32537
53	901	32501
54	918	32476
55	934	32451
56	951	32422
57	967	32397
58	984	32373
59	1000	32335
60	1017	32332
61	1033	32316
62	1051	32320
63	1067	32292
64	1083	32262
65	1099	32232
66	1116	32208
67	1132	32182
68	1149	32155
69	1165	32131
70	1181	32112
71	1198	32086
72	1214	32060
73	1230	32032
74	1247	32008
75	1264	32004
76	1280	31982
77	1296	31957
78	1313	31930
79	1329	31903
80	1345	31874
81	1361	31849
82	1377	31819
83	1393	31795
84	1410	31767
85	1426	31743
86	1442	31721
87	1458	31696
88	1476	31708
89	1493	31694
90	1509	31674
91	1526	31655
92	1542	31630
93	1559	31614
94	1575	31593
95	1592	31588
96	1609	31567
97	1627	31579
98	1649	31667
99	1671	31767
100	1701	31995
101	1734	32272
102	1758	32386
103	1785	32549
104	1803	32546
105	1821	32554
106	1839	32552
107	1856	32526
108	1874	32515
109	1891	32507
110	1899	32333
111	1918	32339
112	1937	32350
113	1955	32357
114	1973	32351
115	1991	32342
116	2009	32347
117	2027	32332
118	2045	32328
119	2063	32321
120	2080	32307
121	2098	32299
122	2115	32283
123	2135	32304
124	2152	32287
125	2169	32271
126	2186	32252
127	2204	32237
128	2221	32222
129	2238	32200
130	2256	32195
131	2274	32191
132	2292	32178
133	2309	32164
134	2327	32148
135	2344	32138
136	2364	32149
137	2382	32143
138	2399	32126
139	2416	32106
140	2434	32096
141	2452	32095
142	2472	32104
143	2490	32096
144	2507	32083
145	2524	32061
146	2541	32042
147	2559	32024
148	2576	32013
149	2593	31986
150	2609	31958
151	2626	31937
152	2643	31911
153	2660	31893
154	2678	31877
155	2695	31861
156	2713	31854
157	2732	31857
158	2750	31843
159	2770	31858
160	2793	31908
161	2813	31921
162	2832	31925
163	2849	31899
164	2866	31874
165	2883	31853
166	2900	31831
167	2912	31763
168	2929	31738
169	2946	31714
170	2963	31692
171	2980	31672
172	3000	31684
173	3017	31669
174	3035	31653
175	3052	31632
176	3068	31607
177	3086	31588
178	3102	31565
179	3119	31542
180	3136	31518
181	3153	31501
182	3170	31481
183	3187	31462
184	3204	31440
185	3222	31423
186	3240	31413
187	3257	31393
188	3274	31372
189	3290	31345
190	3306	31318
191	3323	31293
192	3343	31306
193	3372	31394
194	3389	31373
195	3406	31352
196	3424	31345
197	3442	31328
198	3460	31314
199	3477	31297
200	3494	31279
201	3512	31261
202	3529	31241
203	3546	31220
204	3563	31202
205	3580	31180
206	3597	31161
207	3615	31146
208	3632	31131
209	3650	31115
210	3667	31097
211	3684	31075
212	3701	31051
213	3717	31029
214	3734	31006
215	3751	30984
216	3768	30962
217	3785	30941
218	3803	30929
219	3821	30917
220	3843	30937
221	3864	30953
222	3886	30966
223	3905	30961
224	3921	30937
225	3938	30919
226	3956	30902
227	3973	30880
228	3993	30886
229	4011	30868
230	4028	30850
231	4045	30829
232	4063	30814
233	4080	30794
234	4096	30768
235	4113	30748
236	4130	30728
237	4147	30702
238	4163	30676
239	4179	30651
240	4195	30623
241	4211	30595
242	4227	30570
243	4244	30543
244	4260	30517
245	4277	30499
246	4294	30478
247	4310	30453
